hobbies_pastimes,sports_activities,cultural_artistic,intellectual_academic,user_id
Astronomy,Sailing,Indigenous art experiences,Computer programming hackathons,941
Sewing,Tennis,Poetry slams,Data analysis workshops,942
Knitting,Skateboarding,Opera appreciation,Genetics research,943
Gardening,Judo,Museums,Mathematics competitions,944
"Model building (e.g., airplanes, ships)",Swimming,Poetry slams,Ethical debates,945
Pottery,Tennis,Shakespearean plays,Political science forums,946
Painting,Kickboxing,Theater,Philosophy discussions,947
Yoga,Running,Sculpture gardens,Environmental sustainability workshops,948
Painting,Snowboarding,Street art tours,Robotics competitions,949
Fishing,Fencing,Stand-up comedy shows,Chemistry experiments,950
DIY projects,Archery,Renaissance art appreciation,Computer programming hackathons,951
Playing chess,Triathlons,Art galleries,Astronomy clubs,952
Camping,Tennis,Ballet,Computer programming hackathons,953
Gardening,Soccer,Renaissance art appreciation,Computer programming hackathons,954
Writing,Fencing,Theater,Philosophy discussions,955
Woodworking,Swimming,Pottery workshops,Sociology conferences,956
Gardening,Ballet,Street art tours,Chemistry experiments,957
Camping,Hip-hop dance,Live storytelling events,Computer programming hackathons,958
Baking,Judo,Pottery workshops,Linguistics workshops,959
Gardening,Snowboarding,World music concerts,Robotics competitions,960
Antiques collecting,Skiing,Indigenous art experiences,Bioinformatics symposiums,961
Reading,Swimming,Art galleries,Science fiction literature,962
Pottery,Soccer,World music concerts,Sociology conferences,963
Cycling,Ballet,Live storytelling events,Political science forums,964
Cooking,Ballet,Stand-up comedy shows,Scientific research,965
Cooking,Rugby,Sculpture gardens,Ethical debates,966
DIY projects,Horseback riding,Theater workshops,Scientific research,967
DIY projects,Judo,World music concerts,Bioinformatics symposiums,968
Painting,Cycling,Pottery workshops,Data analysis workshops,969
Fishing,Mountain biking,Baroque music appreciation,Linguistic analysis,970
Meditation,Rock climbing,Theater workshops,Genetics research,971
DIY projects,Skateboarding,Ballet,Genetics research,972
Meditation,Rock climbing,Theater,Scientific research,973
Yoga,Cycling,Book clubs,Legal seminars,974
Playing guitar,Horseback riding,Photography exhibitions,Linguistic analysis,975
"Model building (e.g., airplanes, ships)",Tennis,Theater workshops,Ethical debates,976
Reading,Gymnastics,Live storytelling events,Genetics research,977
Antiques collecting,Tennis,Theater workshops,Mathematics competitions,978
Coin collecting,Hip-hop dance,Art galleries,Philosophy discussions,979
Sewing,Judo,Pottery workshops,Literature appreciation groups,980
Photography,Mountain biking,Live storytelling events,Computer programming hackathons,981
Fishing,Sailing,Poetry readings,Climate change discussions,982
Meditation,Karate,Film analysis clubs,Archaeological digs,983
Scuba diving,Judo,Stand-up comedy shows,Genetics research,984
Pottery,Skiing,Photography exhibitions,Linguistics workshops,985
Yoga,Running,Calligraphy classes,Philosophy discussions,986
Stamp collecting,Mountain biking,Jazz clubs,Bioinformatics symposiums,987
Cycling,Volleyball,World music concerts,Literature appreciation groups,988
Scrapbooking,Rugby,Theater,Archaeological digs,989
Playing guitar,Soccer,Theater workshops,Economics forums,990
Fishing,Rugby,Art galleries,Medical ethics debates,991
"Model building (e.g., airplanes, ships)",Archery,Pottery workshops,Scientific research,992
Baking,Kickboxing,Theater,Mathematics competitions,993
Astronomy,Surfing,Photography exhibitions,Data analysis workshops,994
Ceramics,Triathlons,Classical music appreciation,Astronomy clubs,995
Fishing,Mountain biking,Photography exhibitions,Ethical debates,996
Baking,Kickboxing,Classical music appreciation,Political science forums,997
Reading,Archery,Book clubs,Linguistic analysis,998
Antiques collecting,Basketball,Book clubs,Ethical debates,999
Cycling,Snowboarding,Ballet,Computer programming hackathons,1000
Hiking,Soccer,Poetry readings,Educational technology conferences,1001
Playing chess,Horseback riding,Live storytelling events,Data analysis workshops,1002
Playing chess,Karate,Live storytelling events,Mathematics competitions,1003
Fishing,Mountain biking,Jazz clubs,Ethical debates,1004
Yoga,Rowing,Opera appreciation,Political debates,1005
Playing guitar,Ballet,Film analysis clubs,Physics lectures,1006
Stamp collecting,Running,Opera,Physics lectures,1007
Knitting,Hip-hop dance,Music concerts,Academic publishing,1008
Woodworking,Judo,Stand-up comedy shows,History lectures,1009
Reading,Horseback riding,Poetry readings,Genetics research,1010
Sewing,Volleyball,Theater workshops,Robotics competitions,1011
Birdwatching,Sailing,Indigenous art experiences,Computer programming hackathons,1012
Playing chess,Gymnastics,Poetry readings,Data analysis workshops,1013
Playing guitar,Mountain biking,Shakespearean plays,Physics lectures,1014
Scrapbooking,Rock climbing,Music concerts,Astronomy clubs,1015
Playing chess,Martial arts,Live storytelling events,Chemistry experiments,1016
Astronomy,Snowboarding,Renaissance art appreciation,Environmental sustainability workshops,1017
Calligraphy,Gymnastics,Theater,Political science forums,1018
DIY projects,Volleyball,Opera appreciation,Philosophy discussions,1019
Knitting,Rugby,Pottery workshops,Data analysis workshops,1020
Coin collecting,Kickboxing,Classical music appreciation,Bioinformatics symposiums,1021
Pottery,Skateboarding,Indigenous art experiences,Philosophy discussions,1022
Fishing,Rugby,Theater workshops,Legal seminars,1023
Baking,Ultimate Frisbee,Opera,Chemistry experiments,1024
Scrapbooking,Rock climbing,Opera appreciation,Bioinformatics symposiums,1025
Meditation,Cycling,Book clubs,Science fiction literature,1026
Yoga,Snowboarding,Book clubs,Climate change discussions,1027
DIY projects,Surfing,Cultural festivals,Linguistic analysis,1028
DIY projects,Archery,Music concerts,Science fiction literature,1029
Sewing,Martial arts,Impressionist art appreciation,Astronomy clubs,1030
DIY projects,Soccer,Classical music appreciation,Ethical debates,1031
Coin collecting,Tennis,Book clubs,Mathematics competitions,1032
Coin collecting,Snowboarding,Pottery workshops,Physics lectures,1033
Painting,Hip-hop dance,Film analysis clubs,Sociology conferences,1034
Calligraphy,Horseback riding,Pottery workshops,Academic publishing,1035
Camping,Horseback riding,Opera appreciation,Climate change discussions,1036
Playing guitar,Archery,Shakespearean plays,Data analysis workshops,1037
Ceramics,Rowing,Book clubs,Political debates,1038
Cooking,Snowboarding,Book clubs,Psychology seminars,1039
Hiking,Cycling,Music concerts,Environmental sustainability workshops,1040
Yoga,Gymnastics,Art galleries,Medical ethics debates,1041
Cycling,Snowboarding,Ballet,Linguistic analysis,1042
Hiking,Ultimate Frisbee,Opera,Academic publishing,1043
Photography,Surfing,Street art tours,Genetics research,1044
Woodworking,Swimming,Film analysis clubs,Academic publishing,1045
Antiques collecting,Martial arts,Ballet,Archaeological digs,1046
Astronomy,Skiing,Film analysis clubs,Academic publishing,1047
Gardening,Volleyball,Film festivals,Medical ethics debates,1048
Birdwatching,Cycling,Film festivals,Educational technology conferences,1049
"Model building (e.g., airplanes, ships)",Kickboxing,Film analysis clubs,Ethical debates,1050
Baking,Ballet,Jazz clubs,Literature appreciation groups,1051
Scuba diving,Ultimate Frisbee,Photography exhibitions,Science fiction literature,1052
Gardening,Yoga,Classical music appreciation,Chemistry experiments,1053
Painting,Ultimate Frisbee,Film analysis clubs,Scientific research,1054
Birdwatching,Triathlons,Impressionist art appreciation,Medical ethics debates,1055
Writing,Kickboxing,Indigenous art experiences,Educational technology conferences,1056
Cooking,Judo,Opera appreciation,Robotics competitions,1057
Painting,Running,Classical music appreciation,Ethical debates,1058
"Model building (e.g., airplanes, ships)",Archery,Music concerts,Climate change discussions,1059
Gardening,Karate,Classical music appreciation,Linguistics workshops,1060
Playing guitar,Rowing,Poetry readings,Computer programming hackathons,1061
Coin collecting,Hip-hop dance,Music concerts,Genetics research,1062
Reading,Skiing,Street art tours,Data analysis workshops,1063
Fishing,Surfing,Cultural festivals,Political science forums,1064
Baking,Triathlons,Ballet,Educational technology conferences,1065
Scuba diving,Fencing,Poetry slams,Psychology seminars,1066
Birdwatching,Judo,Pottery workshops,Physics lectures,1067
Gardening,Martial arts,Book clubs,Medical ethics debates,1068
"Model building (e.g., airplanes, ships)",Judo,Jazz clubs,Linguistic analysis,1069
Sewing,Yoga,Impressionist art appreciation,Data analysis workshops,1070
"Model building (e.g., airplanes, ships)",Basketball,Film analysis clubs,Linguistic analysis,1071
Fishing,Judo,Stand-up comedy shows,Physics lectures,1072
Camping,Swimming,Art galleries,Educational technology conferences,1073
Cycling,Rowing,Cultural festivals,Robotics competitions,1074
Knitting,Hip-hop dance,Stand-up comedy shows,Linguistics workshops,1075
Scrapbooking,Tennis,Film festivals,Chemistry experiments,1076
Antiques collecting,Gymnastics,Cultural festivals,Psychology seminars,1077
Cycling,Soccer,Live storytelling events,Medical ethics debates,1078
Birdwatching,Tennis,Shakespearean plays,Genetics research,1079
Ceramics,Skateboarding,Museums,Physics lectures,1080
Pottery,Cycling,Cultural festivals,Bioinformatics symposiums,1081
Yoga,Horseback riding,Film analysis clubs,Bioinformatics symposiums,1082
Playing chess,Running,Impressionist art appreciation,Archaeological digs,1083
Cooking,Fencing,Theater,Mathematics competitions,1084
Baking,Triathlons,Opera appreciation,Climate change discussions,1085
Birdwatching,Basketball,Music concerts,Science fiction literature,1086
DIY projects,Ultimate Frisbee,Symphony orchestra performances,Ethical debates,1087
Scuba diving,Sailing,Stand-up comedy shows,Physics lectures,1088
Coin collecting,Fencing,Baroque music appreciation,Political science forums,1089
Camping,Volleyball,Indigenous art experiences,Cultural anthropology lectures,1090
Ceramics,Golf,Opera appreciation,Political debates,1091
Sewing,Basketball,Opera appreciation,Sociology conferences,1092
Sewing,Skateboarding,Film festivals,Environmental sustainability workshops,1093
Writing,Gymnastics,Indigenous art experiences,Psychology seminars,1094
Painting,Kickboxing,Music concerts,Physics lectures,1095
Birdwatching,Volleyball,Symphony orchestra performances,Ethical debates,1096
Fishing,Basketball,Music concerts,Scientific research,1097
Meditation,Rugby,Ballet,Physics lectures,1098
Sewing,Triathlons,Museums,Philosophy discussions,1099
Baking,Swimming,Theater,Data analysis workshops,1100
Reading,Cycling,Classical music appreciation,Science fiction literature,1101
Yoga,Archery,Poetry slams,Linguistics workshops,1102
Photography,Archery,Calligraphy classes,Legal seminars,1103
Camping,Fencing,Impressionist art appreciation,Political debates,1104
Birdwatching,Martial arts,Opera,Legal seminars,1105
Reading,Soccer,Art galleries,Sociology conferences,1106
DIY projects,Kickboxing,Pottery workshops,Medical ethics debates,1107
Birdwatching,Tennis,Symphony orchestra performances,Ethical debates,1108
Fishing,Rugby,Renaissance art appreciation,Linguistics workshops,1109
Meditation,Basketball,Sculpture gardens,Literature appreciation groups,1110
Scrapbooking,Running,Museums,Archaeological digs,1111
Baking,Golf,Music concerts,Political debates,1112
Playing guitar,Triathlons,Museums,Astronomy clubs,1113
Writing,Ballet,Calligraphy classes,Computer programming hackathons,1114
"Model building (e.g., airplanes, ships)",Cycling,Poetry slams,Political science forums,1115
Hiking,Basketball,Symphony orchestra performances,Climate change discussions,1116
Stamp collecting,Basketball,Cultural festivals,Robotics competitions,1117
Playing chess,Archery,Cultural festivals,Physics lectures,1118
Calligraphy,Tennis,Calligraphy classes,Medical ethics debates,1119
Reading,Rugby,Poetry slams,Academic publishing,1120
DIY projects,Running,Cultural festivals,Ethical debates,1121
Painting,Hip-hop dance,Classical music appreciation,Environmental sustainability workshops,1122
"Model building (e.g., airplanes, ships)",Martial arts,Jazz clubs,Ethical debates,1123
Reading,Running,Film analysis clubs,Political debates,1124
Coin collecting,Cycling,Film festivals,Psychology seminars,1125
Woodworking,Sailing,Cultural festivals,History lectures,1126
Reading,Tennis,Photography exhibitions,Academic publishing,1127
Scrapbooking,Kickboxing,Book clubs,Political debates,1128
Antiques collecting,Ultimate Frisbee,Film analysis clubs,Medical ethics debates,1129
Yoga,Cycling,Opera,History lectures,1130
Hiking,Skiing,Theater,Astronomy clubs,1131
Woodworking,Ballet,Opera appreciation,Science fiction literature,1132
Meditation,Horseback riding,Music concerts,Bioinformatics symposiums,1133
DIY projects,Martial arts,Symphony orchestra performances,History lectures,1134
Yoga,Judo,Impressionist art appreciation,Political debates,1135
Fishing,Golf,Ballet,Climate change discussions,1136
Gardening,Yoga,Theater,Bioinformatics symposiums,1137
DIY projects,Skateboarding,Street art tours,Genetics research,1138
Calligraphy,Judo,Opera appreciation,Archaeological digs,1139
Painting,Martial arts,Book clubs,Robotics competitions,1140
Astronomy,Golf,Opera appreciation,Archaeological digs,1141
Scuba diving,Tennis,Poetry slams,Mathematics competitions,1142
Reading,Volleyball,Cultural festivals,Philosophy discussions,1143
Gardening,Gymnastics,Symphony orchestra performances,Mathematics competitions,1144
Baking,Skiing,Opera appreciation,Scientific research,1145
Writing,Ballet,Indigenous art experiences,Literature appreciation groups,1146
Photography,Triathlons,Book clubs,Academic publishing,1147
Scrapbooking,Triathlons,Museums,Genetics research,1148
Antiques collecting,Rugby,Film analysis clubs,Medical ethics debates,1149
Pottery,Judo,Calligraphy classes,Linguistic analysis,1150
Knitting,Volleyball,Cultural festivals,Economics forums,1151
Calligraphy,Gymnastics,Film festivals,Computer programming hackathons,1152
Knitting,Sailing,Symphony orchestra performances,Astronomy clubs,1153
Stamp collecting,Soccer,Calligraphy classes,Archaeological digs,1154
Ceramics,Yoga,Cultural festivals,Computer programming hackathons,1155
Gardening,Soccer,Photography exhibitions,Chemistry experiments,1156
Astronomy,Fencing,Film analysis clubs,Scientific research,1157
Playing chess,Volleyball,Baroque music appreciation,Ethical debates,1158
"Model building (e.g., airplanes, ships)",Fencing,Classical music appreciation,Mathematics competitions,1159
Stamp collecting,Yoga,Poetry slams,Science fiction literature,1160
Camping,Fencing,Ballet,Ethical debates,1161
Cycling,Ballet,Classical music appreciation,Computer programming hackathons,1162
Scrapbooking,Mountain biking,Impressionist art appreciation,Genetics research,1163
Cooking,Hip-hop dance,Baroque music appreciation,Philosophy discussions,1164
Cycling,Hip-hop dance,Symphony orchestra performances,Computer programming hackathons,1165
Cycling,Sailing,Jazz clubs,Scientific research,1166
Yoga,Ultimate Frisbee,Calligraphy classes,Science fiction literature,1167
Stamp collecting,Tennis,Renaissance art appreciation,Data analysis workshops,1168
Cycling,Rugby,Poetry readings,Sociology conferences,1169
Coin collecting,Mountain biking,Theater workshops,Scientific research,1170
Knitting,Golf,Ballet,Political debates,1171
Playing chess,Kickboxing,Poetry slams,Astronomy clubs,1172
Meditation,Cycling,Stand-up comedy shows,Physics lectures,1173
Playing guitar,Yoga,Poetry slams,Political science forums,1174
Hiking,Soccer,Theater workshops,Linguistic analysis,1175
Birdwatching,Horseback riding,Music concerts,Linguistics workshops,1176
Meditation,Rugby,Cultural festivals,Medical ethics debates,1177
Playing guitar,Hip-hop dance,Photography exhibitions,Linguistics workshops,1178
Camping,Kickboxing,Poetry readings,Political science forums,1179
Playing chess,Mountain biking,Stand-up comedy shows,Cultural anthropology lectures,1180
Yoga,Ballet,Classical music appreciation,Ethical debates,1181
Calligraphy,Skateboarding,Theater,Astronomy clubs,1182
Ceramics,Ballet,Classical music appreciation,History lectures,1183
Painting,Skiing,Music concerts,Ethical debates,1184
Painting,Yoga,Theater workshops,Climate change discussions,1185
Ceramics,Swimming,Impressionist art appreciation,Archaeological digs,1186
Playing chess,Volleyball,Poetry slams,Linguistics workshops,1187
Baking,Basketball,Poetry slams,Bioinformatics symposiums,1188
Fishing,Surfing,Shakespearean plays,Psychology seminars,1189
Fishing,Martial arts,Poetry slams,Climate change discussions,1190
Knitting,Basketball,Pottery workshops,Climate change discussions,1191
Baking,Soccer,Book clubs,Scientific research,1192
Woodworking,Basketball,Classical music appreciation,Mathematics competitions,1193
Yoga,Rugby,Museums,Philosophy discussions,1194
DIY projects,Karate,Street art tours,Environmental sustainability workshops,1195
Astronomy,Karate,World music concerts,Archaeological digs,1196
Fishing,Hip-hop dance,Cultural festivals,Robotics competitions,1197
Yoga,Surfing,Street art tours,Cultural anthropology lectures,1198
Knitting,Gymnastics,Symphony orchestra performances,Science fiction literature,1199
Camping,Martial arts,Poetry readings,Literature appreciation groups,1200
Fishing,Sailing,Museums,Literature appreciation groups,1201
Cooking,Triathlons,Cultural festivals,Mathematics competitions,1202
Painting,Sailing,Poetry slams,Robotics competitions,1203
Cycling,Hip-hop dance,Art galleries,Science fiction literature,1204
Scuba diving,Cycling,Poetry slams,Literature appreciation groups,1205
Sewing,Archery,Live storytelling events,Linguistics workshops,1206
Scrapbooking,Ballet,Opera,Psychology seminars,1207
Astronomy,Archery,Poetry readings,Medical ethics debates,1208
Baking,Horseback riding,Stand-up comedy shows,History lectures,1209
Painting,Rowing,Live storytelling events,Computer programming hackathons,1210
Meditation,Judo,Calligraphy classes,Educational technology conferences,1211
Yoga,Mountain biking,Theater,Environmental sustainability workshops,1212
Baking,Judo,Street art tours,Linguistics workshops,1213
Writing,Ultimate Frisbee,Classical music appreciation,Archaeological digs,1214
Yoga,Gymnastics,Live storytelling events,Economics forums,1215
Cycling,Mountain biking,Classical music appreciation,Psychology seminars,1216
Painting,Sailing,Live storytelling events,Political science forums,1217
Ceramics,Rock climbing,Theater,Linguistic analysis,1218
Playing guitar,Ultimate Frisbee,Opera appreciation,Science fiction literature,1219
Gardening,Skiing,Cultural festivals,Mathematics competitions,1220
Pottery,Fencing,Ballet,Bioinformatics symposiums,1221
Calligraphy,Judo,Theater,Economics forums,1222
Coin collecting,Ultimate Frisbee,Theater,Philosophy discussions,1223
Hiking,Cycling,Shakespearean plays,Physics lectures,1224
Baking,Rock climbing,Art galleries,Linguistic analysis,1225
Yoga,Kickboxing,Book clubs,Archaeological digs,1226
Birdwatching,Volleyball,Impressionist art appreciation,Science fiction literature,1227
Astronomy,Mountain biking,Street art tours,Political science forums,1228
Stamp collecting,Running,Music concerts,Educational technology conferences,1229
Coin collecting,Volleyball,Classical music appreciation,Bioinformatics symposiums,1230
Cycling,Rowing,Shakespearean plays,Bioinformatics symposiums,1231
Antiques collecting,Running,World music concerts,Chemistry experiments,1232
Astronomy,Triathlons,Museums,Climate change discussions,1233
Sewing,Gymnastics,Sculpture gardens,Data analysis workshops,1234
Fishing,Rowing,Shakespearean plays,Economics forums,1235
Yoga,Hip-hop dance,Opera,Computer programming hackathons,1236
Reading,Golf,Street art tours,Genetics research,1237
Playing guitar,Triathlons,Ballet,Scientific research,1238
Cooking,Horseback riding,Renaissance art appreciation,Astronomy clubs,1239
Fishing,Surfing,Street art tours,Environmental sustainability workshops,1240
Ceramics,Horseback riding,Museums,Bioinformatics symposiums,1241
Stamp collecting,Cycling,Stand-up comedy shows,Academic publishing,1242
Meditation,Surfing,Film festivals,Chemistry experiments,1243
Cooking,Sailing,Stand-up comedy shows,Legal seminars,1244
Fishing,Ballet,World music concerts,Mathematics competitions,1245
Calligraphy,Triathlons,Opera,Medical ethics debates,1246
Sewing,Soccer,Shakespearean plays,Climate change discussions,1247
Scuba diving,Soccer,Book clubs,Genetics research,1248
Astronomy,Swimming,Poetry slams,Literature appreciation groups,1249
Scrapbooking,Skateboarding,Opera,Environmental sustainability workshops,1250
Fishing,Triathlons,Film festivals,Genetics research,1251
Ceramics,Sailing,Ballet,Climate change discussions,1252
Photography,Tennis,Art galleries,Academic publishing,1253
"Model building (e.g., airplanes, ships)",Cycling,Ballet,Academic publishing,1254
Baking,Skiing,Jazz clubs,Physics lectures,1255
Coin collecting,Gymnastics,Art galleries,Academic publishing,1256
Baking,Rowing,Theater,Environmental sustainability workshops,1257
Photography,Volleyball,Indigenous art experiences,Physics lectures,1258
Photography,Sailing,Jazz clubs,Computer programming hackathons,1259
Coin collecting,Golf,Live storytelling events,Ethical debates,1260
Camping,Running,Film analysis clubs,Science fiction literature,1261
Pottery,Rowing,Art galleries,Political debates,1262
Reading,Running,Cultural festivals,Archaeological digs,1263
Gardening,Hip-hop dance,Art galleries,Climate change discussions,1264
DIY projects,Ultimate Frisbee,Cultural festivals,Archaeological digs,1265
Yoga,Yoga,Museums,Medical ethics debates,1266
Gardening,Triathlons,Pottery workshops,Robotics competitions,1267
Scrapbooking,Ultimate Frisbee,Renaissance art appreciation,Educational technology conferences,1268
Antiques collecting,Running,Cultural festivals,Legal seminars,1269
Playing guitar,Sailing,Classical music appreciation,Legal seminars,1270
Antiques collecting,Rowing,Symphony orchestra performances,Genetics research,1271
Camping,Yoga,Poetry readings,Psychology seminars,1272
Ceramics,Basketball,Symphony orchestra performances,Computer programming hackathons,1273
Reading,Cycling,Impressionist art appreciation,Mathematics competitions,1274
"Model building (e.g., airplanes, ships)",Rowing,Impressionist art appreciation,Ethical debates,1275
Meditation,Mountain biking,Theater workshops,Robotics competitions,1276
Writing,Karate,Impressionist art appreciation,Data analysis workshops,1277
Meditation,Fencing,Jazz clubs,Robotics competitions,1278
Gardening,Swimming,Opera appreciation,Ethical debates,1279
Reading,Swimming,Pottery workshops,Bioinformatics symposiums,1280
Sewing,Martial arts,Classical music appreciation,Linguistic analysis,1281
Meditation,Skateboarding,Sculpture gardens,Academic publishing,1282
Photography,Yoga,Impressionist art appreciation,Robotics competitions,1283
Cycling,Kickboxing,Classical music appreciation,Medical ethics debates,1284
Writing,Triathlons,Theater workshops,Political science forums,1285
Camping,Golf,Calligraphy classes,Educational technology conferences,1286
Fishing,Ballet,Pottery workshops,Academic publishing,1287
Baking,Yoga,Calligraphy classes,Bioinformatics symposiums,1288
Coin collecting,Snowboarding,Calligraphy classes,Sociology conferences,1289
DIY projects,Golf,Calligraphy classes,Bioinformatics symposiums,1290
Sewing,Rock climbing,Book clubs,Political science forums,1291
Painting,Archery,Theater workshops,History lectures,1292
Stamp collecting,Running,Classical music appreciation,Bioinformatics symposiums,1293
Astronomy,Karate,Opera,Literature appreciation groups,1294
Painting,Basketball,World music concerts,Computer programming hackathons,1295
Photography,Ultimate Frisbee,Indigenous art experiences,Genetics research,1296
Gardening,Mountain biking,Symphony orchestra performances,Linguistics workshops,1297
Ceramics,Karate,Film analysis clubs,Scientific research,1298
Playing chess,Triathlons,Cultural festivals,Science fiction literature,1299
Playing chess,Ultimate Frisbee,Pottery workshops,Science fiction literature,1300
Gardening,Skiing,Classical music appreciation,Linguistics workshops,1301
Cycling,Martial arts,Cultural festivals,Political science forums,1302
Calligraphy,Cycling,Photography exhibitions,Environmental sustainability workshops,1303
Camping,Soccer,Classical music appreciation,Archaeological digs,1304
Gardening,Rugby,Ballet,Psychology seminars,1305
Scrapbooking,Ultimate Frisbee,Classical music appreciation,Archaeological digs,1306
Calligraphy,Kickboxing,Street art tours,Ethical debates,1307
Playing guitar,Skiing,Pottery workshops,Literature appreciation groups,1308
"Model building (e.g., airplanes, ships)",Ultimate Frisbee,Indigenous art experiences,Astronomy clubs,1309
Photography,Surfing,Film festivals,History lectures,1310
Writing,Volleyball,Street art tours,Physics lectures,1311
Astronomy,Tennis,Ballet,Sociology conferences,1312
Woodworking,Golf,Theater,Mathematics competitions,1313
Fishing,Volleyball,Art galleries,History lectures,1314
Playing guitar,Kickboxing,Theater workshops,Archaeological digs,1315
Playing chess,Rowing,Street art tours,Academic publishing,1316
DIY projects,Surfing,Ballet,Linguistic analysis,1317
Stamp collecting,Cycling,Poetry readings,Bioinformatics symposiums,1318
Cycling,Snowboarding,Cultural festivals,Data analysis workshops,1319
Ceramics,Karate,Jazz clubs,Chemistry experiments,1320
Camping,Snowboarding,Cultural festivals,Medical ethics debates,1321
Yoga,Skateboarding,Sculpture gardens,Medical ethics debates,1322
Playing chess,Mountain biking,Street art tours,Political debates,1323
Playing chess,Martial arts,Baroque music appreciation,Ethical debates,1324
"Model building (e.g., airplanes, ships)",Snowboarding,Ballet,Legal seminars,1325
Painting,Swimming,Poetry readings,Science fiction literature,1326
Playing chess,Snowboarding,Calligraphy classes,Physics lectures,1327
Gardening,Snowboarding,Music concerts,Astronomy clubs,1328
Fishing,Rowing,Opera,Linguistics workshops,1329
Gardening,Snowboarding,Opera appreciation,Computer programming hackathons,1330
Reading,Rowing,Pottery workshops,Environmental sustainability workshops,1331
Camping,Fencing,Shakespearean plays,Educational technology conferences,1332
Fishing,Martial arts,Book clubs,Robotics competitions,1333
Coin collecting,Kickboxing,Opera,Ethical debates,1334
Fishing,Snowboarding,Poetry slams,Literature appreciation groups,1335
Meditation,Rock climbing,Classical music appreciation,Bioinformatics symposiums,1336
Photography,Rock climbing,Classical music appreciation,Mathematics competitions,1337
Painting,Rugby,Live storytelling events,Cultural anthropology lectures,1338
Antiques collecting,Ultimate Frisbee,Pottery workshops,History lectures,1339
Yoga,Skiing,Pottery workshops,Educational technology conferences,1340
Cooking,Cycling,Museums,Genetics research,1341
Hiking,Skiing,Sculpture gardens,Physics lectures,1342
Photography,Gymnastics,Book clubs,Climate change discussions,1343
Gardening,Basketball,Opera appreciation,Literature appreciation groups,1344
Reading,Karate,Jazz clubs,Genetics research,1345
Birdwatching,Basketball,Ballet,Linguistic analysis,1346
Pottery,Skiing,Live storytelling events,Computer programming hackathons,1347
"Model building (e.g., airplanes, ships)",Martial arts,Classical music appreciation,Political science forums,1348
"Model building (e.g., airplanes, ships)",Ballet,Poetry readings,Cultural anthropology lectures,1349
Pottery,Archery,Theater workshops,Political science forums,1350
Woodworking,Triathlons,Shakespearean plays,Science fiction literature,1351
Playing chess,Sailing,Live storytelling events,Academic publishing,1352
Scrapbooking,Horseback riding,World music concerts,Psychology seminars,1353
Birdwatching,Gymnastics,Calligraphy classes,Computer programming hackathons,1354
Antiques collecting,Martial arts,Sculpture gardens,Legal seminars,1355
DIY projects,Surfing,Classical music appreciation,Literature appreciation groups,1356
Hiking,Kickboxing,Photography exhibitions,Legal seminars,1357
"Model building (e.g., airplanes, ships)",Hip-hop dance,Ballet,Physics lectures,1358
Playing guitar,Martial arts,Street art tours,Legal seminars,1359
Playing chess,Ultimate Frisbee,Photography exhibitions,Medical ethics debates,1360
Knitting,Cycling,Film analysis clubs,Scientific research,1361
Astronomy,Cycling,Book clubs,Ethical debates,1362
Coin collecting,Mountain biking,Shakespearean plays,Environmental sustainability workshops,1363
Camping,Skiing,Film festivals,Economics forums,1364
Knitting,Snowboarding,Indigenous art experiences,Climate change discussions,1365
Stamp collecting,Volleyball,Street art tours,Computer programming hackathons,1366
Fishing,Kickboxing,Jazz clubs,History lectures,1367
Yoga,Tennis,Jazz clubs,Academic publishing,1368
Playing chess,Basketball,Baroque music appreciation,Linguistics workshops,1369
Gardening,Running,Street art tours,Physics lectures,1370
Hiking,Running,Jazz clubs,Legal seminars,1371
Playing chess,Ballet,Stand-up comedy shows,History lectures,1372
Astronomy,Judo,Opera appreciation,Mathematics competitions,1373
Reading,Soccer,Theater,Sociology conferences,1374
Yoga,Archery,Stand-up comedy shows,Genetics research,1375
Playing guitar,Ultimate Frisbee,Poetry readings,Computer programming hackathons,1376
Cycling,Rugby,Live storytelling events,Political science forums,1377
Calligraphy,Surfing,Sculpture gardens,Linguistic analysis,1378
Photography,Mountain biking,Stand-up comedy shows,Archaeological digs,1379
Coin collecting,Sailing,Poetry slams,Ethical debates,1380
Cooking,Basketball,Museums,Bioinformatics symposiums,1381
Ceramics,Surfing,Photography exhibitions,History lectures,1382
Knitting,Horseback riding,Music concerts,Ethical debates,1383
Reading,Skiing,Renaissance art appreciation,Economics forums,1384
Coin collecting,Running,Cultural festivals,Academic publishing,1385
Scrapbooking,Rock climbing,Film festivals,Mathematics competitions,1386
Playing chess,Rock climbing,Symphony orchestra performances,Sociology conferences,1387
Photography,Ultimate Frisbee,Indigenous art experiences,Educational technology conferences,1388
Antiques collecting,Sailing,Photography exhibitions,Astronomy clubs,1389
Meditation,Surfing,Jazz clubs,Political science forums,1390
Hiking,Sailing,Stand-up comedy shows,Science fiction literature,1391
Meditation,Swimming,Symphony orchestra performances,Linguistics workshops,1392
Reading,Swimming,Jazz clubs,Philosophy discussions,1393
Reading,Skiing,Pottery workshops,Mathematics competitions,1394
Photography,Snowboarding,Theater workshops,Educational technology conferences,1395
Coin collecting,Cycling,Theater workshops,Environmental sustainability workshops,1396
Astronomy,Snowboarding,World music concerts,Political science forums,1397
DIY projects,Golf,Classical music appreciation,Linguistic analysis,1398
